report_text,category,severity,language
Ang mga linya ay magkadikit na sa kalye mapanganib sa mga motorsiklo kailangan na talaga ng tulong.,Power Hazard,Medium,tagalog
"Pakiusap sana ay tulungan kami, Kailangan ng vitamins ang mga bata sa aming purok kailangan ng agad na aksyon.",Medical,Low,tagalog
Gusto ko lang ireport na Nasusunog ang tindahan may mga taong naiipit sa loob salamat po.,Fire,High,tagalog
May konting spark sa lumang socket sa aming barangay hall sana ay tulungan ninyo kami.,Power Hazard,Low,tagalog
Ang matanda sa kanto ay may matagal nang sugat na hindi gumagaling,Medical,Medium,tagalog
"Aram ko na dakul kamong trabaho pero Naheling ko an sarong tawong may hawak na lading, nagbabanta sa mga tawo dakul na salamat.",Security,High,bikol
Gusto ko lang ireport na Ang baha ay umabot na sa bubungan ng mababang bahay dito sa amin,Flooding,High,tagalog
Gusto ko lang ireport na Ang drainage dito sa amin ay puno na ng basura kaya nagbabaha maraming salamat po.,Flooding,Medium,tagalog
"Aram ko na dakul kamong trabaho pero Nahulog an transformer harani sa palengke, may kalayong naluluwas naglalaom kami na maaksyunan ini.",Power Hazard,High,bikol
"Naghahapot ako kun igwa nang aksyon, Natumba an atop kan alang na gusali, may naipit na tawo sa laog tabangan niyo kami tabi.",Structural,High,bikol
"Importante po ito, May maliit na sunog sa vegetable stall nabugaw na pero may natitira nangyari ito kanina pa.",Fire,Medium,tagalog
Nag aalala po kami dahil Ang water pressure sa aming lugar ay napakababa halos walang tubig pakiusap.,Utility,Medium,tagalog
"Pakiusap tabangan kami, May nangagaw nin bag sa samuyang lugar, dakul na beses na ining nangyari tabangan niyo kami tabi.",Security,High,bikol
Alam ko po na marami kayong trabaho pero Nagsimula ng bumaha sa mababang lugar ng barangay nangyari ito kanina pa.,Flooding,Medium,tagalog
Gusto ko lang ireport na Ang retaining wall sa aming lugar ay gumuho na kailangan ng ayos,Structural,High,tagalog
"Nag-aalala kami huli ta Apat na harong an nasunog sa samuyang sityo, kaipuhan nin rescue puwede daw kamong tumabang?",Fire,High,bikol
"Nagtatanong po kung may aksyon na, Naaksidente ang aking kapitbahay kailangan ng agad na tulong medikal maraming salamat po.",Medical,High,tagalog
"Aram ko na dakul kamong trabaho pero Naaksidente an sakuyang kataed, kaipuhan nin dagos na tabang medikal pakiusap.",Medical,High,bikol
"May aking binugbog, kaipuhan nin atensyon medikal ngunyan man salamat.",Medical,High,bikol
"Importante po ito, Ang aspalto sa harap ng eskwelahan ay biglang lumubog may malaking hukay kailangan na talaga ng tulong.",Road Hazard,High,tagalog
"Pakiusap sana ay tulungan kami, Nagtayo na ng emergency shelter pero may naiwan pang tao sa baha salamat po.",Flooding,High,tagalog
Alam ko po na marami kayong trabaho pero Nasunog ang kamay ng bata habang naglalaro malapit sa kalan kailangan ng tulong maraming salamat po.,Medical,High,tagalog
"Aram ko na dakul kamong trabaho pero Natumba an retaining wall kan kalsada sa bukid, naipit an mga sasakyan dakul na salamat.",Infrastructure,High,bikol
Gusto ko lang ireport na Ang wiring sa isang bahay ay luma na at baka magkorslot pakiusap.,Power Hazard,Medium,tagalog
Maliit lang ang baha pero lumalaki na kailangan bantayan,Flooding,Medium,tagalog
"Pakiusap sana ay tulungan kami, May malalaking bato sa kalsada pagkatapos ng ulan delikado sa gabi kailangan na talaga ng tulong.",Road Hazard,Medium,tagalog
"Mahal na barangay tanggapan, Gusto ko lang ireport na maraming lamok sa aming lugar pakiusap.",Medical,Low,tagalog
Ang mga pagkain sa canteen ay hindi maayos na nakaimbak posibleng masama,Food,Medium,tagalog
"Dakul na ayam na daing kagsadiri sa samuyang lugar, delikado sa mga aki",Animal,Medium,bikol
"May nag-iiriwal-wal asin naggagamit nin armas sa palengke, kaipuhan tulos nin pulis",Security,High,bikol
"Naghahapot ako kun igwa nang aksyon, Naputol an pangenot na tubo nin tubig, gabos kami daing tubig ini nangyari ngunyan.",Utility,High,bikol
Gusto ko lang ireport na May buntis na manganganak na kailangan ng agad na sasakyan papunta ospital maaari ba kayong tumulong?,Medical,High,tagalog
"Importante po ito, May pagguho ng lupa sa estero naharang na ang daloy ng tubig salamat po.",Landslide,High,tagalog
Nag aalala po kami dahil Hindi gumagana ang traffic light sa intersection mapanganib,Road Hazard,Medium,tagalog
Bukas na ang manhole cover sa gitna ng daan nakita ko na ang ilang nadaanan umaasa po kaming maaksyunan ito.,Road Hazard,High,tagalog
Nag-aalala kami huli ta May food poisoning na naeksperyensya kan dakul na residente hali sa sarong tindahan dakul na salamat.,Food,High,bikol
Naputol ang linya ng kuryente nahulog sa may basang daan mapanganib,Utility,High,tagalog
Nag aalala po kami dahil Maraming bata ang may lagnat at ubo sa aming purok salamat po.,Medical,Medium,tagalog
"Importante ini, Nagaba an pangenot na kalsada, dai na madadaanan kan mga sasakyan salamat.",Infrastructure,High,bikol
Nag aalala po kami dahil Konting tubig sa labas ng bahay wala naman malaking epekto nangyari ito kanina pa.,Flooding,Low,tagalog
Gusto ko lang ireport na May nakita kaming bitak sa lupa sa mataas na lugar posibleng magguho maaari ba kayong tumulong?,Landslide,Medium,tagalog
Umabot na ang baha sa loob ng classroom at opisina ng barangay maaari ba kayong tumulong?,Flooding,High,tagalog
Dalawang bahay na naanod sa baha kailangan agad ng tulong,Flooding,High,tagalog
Aram ko na dakul kamong trabaho pero Daing tubig na maiinom sa samuyang lugar sa tulong aldaw na ini dakul na salamat.,Utility,High,bikol
"Importante po ito, Ang lumang gusali ay gumuho na sa isang parte kailangan ng rescue",Structural,High,tagalog
Gusto ko lang ireport na Ang mga residente ay lumikas na pero may natira pang matatanda kailangan ng agad na aksyon.,Flooding,High,tagalog
"Mahal na tanggapan kan barangay, An gilid kan kalsada sa bukid naluluwag na, tibaad maggaba tabangan niyo kami tabi.",Landslide,Medium,bikol
Alam ko po na marami kayong trabaho pero Ang estero sa amin ay lagi nang umaapaw kapag umuulan,Flooding,Medium,tagalog
Aram ko na dakul kamong trabaho pero Naghihilaw an baha sa mababang parte kan barangay,Flooding,Medium,bikol
"Naghahapot ako kun igwa nang aksyon, An pinto kan sityo hall sira na, masakit buksan dakul na salamat.",Structural,Low,bikol
"Importante po ito, Naputol ang main water pipe lahat kami walang tubig umaasa po kaming maaksyunan ito.",Utility,High,tagalog
Hindi gumagana ang traffic light sa intersection mapanganib nangyari ito kanina pa.,Road Hazard,Medium,tagalog
"Mahal na barangay tanggapan, Nasunog ang apat na bahay sa aming sityo kailangan ng rescue",Fire,High,tagalog
"Importante po ito, Ang tubig na ininom ng mga bata ay may kakaibang amoy posibleng kontaminado salamat po.",Food,High,tagalog
Apoy na lumabas sa transformer nagdulot ng sunog sa tabi nitong bahay nangyari ito kanina pa.,Fire,High,tagalog
"Mahal na tanggapan kan barangay, May konting tubig sa gilid kan tulay huli sa uran kaipuhan na gayod nin tabang.",Flooding,Low,bikol
Malaking landslide sa kabundukan naiipit ang ilang pamilya sa ibaba maaari ba kayong tumulong?,Landslide,High,tagalog
"Nagtatanong po kung may aksyon na, Lumagpas na ang baha sa baywang antas kailangan na ng pagtulong nangyari ito kanina pa.",Flooding,High,tagalog
May nag-aaway at gumagamit ng armas sa palengke kailangan ng pulis agad maaari ba kayong tumulong?,Security,High,tagalog
Maliit lang ang baha pero lumalaki na kailangan bantayan ito ay nangyari ngayon.,Flooding,Medium,tagalog
Gusto ko lang ireport na May nagrereklamo ng sakit ng ulo sa init ng panahon ngayon pakiusap.,Medical,Low,tagalog
"Nagtatanong po kung may aksyon na, May napansing usok sa dumpsite baka sumasamang basura kailangan ng agad na aksyon.",Fire,Medium,tagalog
"Mahal na barangay tanggapan, Maliit na baha sa ilalim ng tulay gusto lang malaman ng barangay",Flooding,Low,tagalog
Gusto ko lang ireport na Ang drainage sa aming lugar ay sira na palagi kaming nababaha salamat po.,Utility,Medium,tagalog
Nag aalala po kami dahil May pinaghihinalaang drug den sa katabing bahay kailangan ng imbestigasyon maraming salamat po.,Security,Medium,tagalog
Gusto ko lang ireport na Nabasa lang ang kalsada sa harap hindi naman malubha pakiusap.,Flooding,Low,tagalog
"Pakiusap sana ay tulungan kami, May bata na nalunod sa mababaw na tubig kailangan agad ng medikal nangyari ito kanina pa.",Medical,High,tagalog
"Importante ini, Dakul na residente an naghehelang, tibaad dengue, kaipuhan nin fumigation dakul na salamat.",Medical,Medium,bikol
Gusto ko lang ireport na Nagsisimulang gumuhit ang lupa sa bundok sa aming lugar babantayan,Landslide,Medium,tagalog
May bitak sa plasa ng barangay maliit lang naman pero gusto ko lang ireport maraming salamat po.,Structural,Low,tagalog
May konting tubig sa gilid kan tulay huli sa uran tabangan niyo kami tabi.,Flooding,Low,bikol
"Mahal na barangay tanggapan, Ang landslide ay sumakop sa dalawang bahay kailangan ng rescue agad",Landslide,High,tagalog
Gusto ko lang ireport na Nasunog ang apat na bahay sa aming sityo kailangan ng rescue ito ay nangyari ngayon.,Fire,High,tagalog
"Pakiusap sana ay tulungan kami, Ang mga baboy na gala sa kalsada ay nagdudulot ng panganib sa mga sasakyan ito ay nangyari ngayon.",Animal,Medium,tagalog
"Nagtatanong po kung may aksyon na, Gusto ko lang ireport na ang aming poste ay medyo lumang lumuma na",Power Hazard,Low,tagalog
"Importante po ito, Bumagsak ang malaking bato mula sa bundok naharang ang daan maaari ba kayong tumulong?",Road Hazard,High,tagalog
"Aram ko na dakul kamong trabaho pero Kinagat kan ayam an sarong aki na yaon sa dalan, kaipuhan nin tabang medikal naglalaom kami na maaksyunan ini.",Animal,High,bikol
"Nagtatanong po kung may aksyon na, Ang mga linya ng kuryente sa aming lugar ay masyadong mababa delikado maraming salamat po.",Power Hazard,Medium,tagalog
Alam ko po na marami kayong trabaho pero May taong nahimatay sa kalsada kailangan ng ambulansya,Medical,High,tagalog
Dakul na residente an dai nakakakaon huli sa kadaihan nin pagkaon,Food,Medium,bikol
Ang inuming tubig ng barangay ay may amoy na hindi normal kailangan suriin sana ay tulungan ninyo kami.,Food,High,tagalog
"Naghahapot ako kun igwa nang aksyon, May electric shock an sarong aki sa atubangan kan samuyang harong ini nangyari ngunyan.",Power Hazard,High,bikol
Mababaw ang baha pero lumalamig na ang temperatura pwede pa lumaki nangyari ito kanina pa.,Flooding,Medium,tagalog
Alam ko po na marami kayong trabaho pero May suspetsa na dengue outbreak sa aming barangay maraming nagrereklamo pakiusap.,Medical,Medium,tagalog
"Kinagat kan ayam an sarong aki na yaon sa dalan, kaipuhan nin tabang medikal salamat.",Animal,High,bikol
May nakulong na tao sa loob ng bahay hindi makalabas dahil sa baha,Flooding,High,tagalog
"Mahal na barangay tanggapan, May nang-aagaw ng bag sa aming lugar maraming beses nang nangyari nangyari ito kanina pa.",Security,High,tagalog
Gusto ko sanang i-report na May konting tubig sa gilid kan tulay huli sa uran,Flooding,Low,bikol
"Nagtatanong po kung may aksyon na, Ang estero sa amin ay lagi nang umaapaw kapag umuulan ito ay nangyari ngayon.",Flooding,Medium,tagalog
Nag aalala po kami dahil Nahulog ang malaking sanga ng puno sa kalsada naputol ang linya ng kuryente sana ay tulungan ninyo kami.,Road Hazard,High,tagalog
Ang aming sityo ay kulang sa ilaw sa gabi posibleng hindi ligtas salamat po.,Security,Low,tagalog
"Mahal na barangay tanggapan, Naputol ang linya ng kuryente nahulog sa may basang daan mapanganib salamat po.",Utility,High,tagalog
Ang matanda sa kanto ay may matagal nang sugat na hindi gumagaling,Medical,Medium,tagalog
Alam ko po na marami kayong trabaho pero Naputol ang daliri ng isang bata sa aksidente kailangan ng ospital ito ay nangyari ngayon.,Medical,High,tagalog
Alam ko po na marami kayong trabaho pero Konting tubig sa labas ng bahay wala naman malaking epekto kailangan ng agad na aksyon.,Flooding,Low,tagalog
"Mahal na barangay tanggapan, Maliliit na butas sa kalsada gusto ko lang ireport para maayos sana ay tulungan ninyo kami.",Road Hazard,Low,tagalog
"Aram ko na dakul kamong trabaho pero Naghali sa kalan an sunog, luway-luway nag-aabot sa ibang harong salamat.",Fire,High,bikol
"Importante ini, May nasakitan sa samuyang kataed, kaipuhan tulos nin tabang dakul na salamat.",Medical,High,bikol
Ang landslide ay sumakop sa dalawang bahay kailangan ng rescue agad maaari ba kayong tumulong?,Landslide,High,tagalog
Aram ko na dakul kamong trabaho pero Kaipuhan nin bitamina an mga aki sa samuyang purok salamat.,Medical,Low,bikol
"Mahal na barangay tanggapan, Bumagsak ang malaking bato mula sa bundok naharang ang daan maaari ba kayong tumulong?",Road Hazard,High,tagalog
Gusto ko lang ireport na Ang kalsada sa aming barangay ay lubak lubak na mapanganib sa motorsiklo nangyari ito kanina pa.,Road Hazard,Medium,tagalog
Alam ko po na marami kayong trabaho pero Biglang bumaha ang kanal umabot na ang tubig sa loob ng bahay namin kailangan ng agad na aksyon.,Flooding,High,tagalog
Lagi na kaming walang kuryente sa gabi pumunta na kami sa barangay hall sana ay tulungan ninyo kami.,Utility,Medium,tagalog
Nag aalala po kami dahil Ang street light sa aming lugar ay naputulan ng ilaw gusto ko lang ireport,Utility,Low,tagalog
Nag aalala po kami dahil Gusto ko lang ireport na may mga estranyo na nakikita sa aming lugar pakiusap.,Security,Low,tagalog
"Pakiusap sana ay tulungan kami, Sira na ang street light sa aming kalsada mapanganib sa gabi kailangan na talaga ng tulong.",Utility,Medium,tagalog
Konting tubig sa labas ng bahay wala naman malaking epekto maaari ba kayong tumulong?,Flooding,Low,tagalog
"Nagtatanong po kung may aksyon na, May nahulog na container van sa kalsada delikado sa mga sasakyan kailangan na talaga ng tulong.",Road Hazard,High,tagalog
Gusto ko lang ireport na Ang bakod ng parke sa amin ay may sira na dapat na ayusin,Structural,Low,tagalog
"Importante po ito, Lumagpas na ang baha sa baywang antas kailangan na ng pagtulong maraming salamat po.",Flooding,High,tagalog
"Importante po ito, Nagsimula sa kalan ang sunog mabilis na kumalat sa ibang bahay sana ay tulungan ninyo kami.",Fire,High,tagalog
Malaking landslide sa kabundukan naiipit ang ilang pamilya sa ibaba,Landslide,High,tagalog
"Pakiusap sana ay tulungan kami, May bitak sa plasa ng barangay maliit lang naman pero gusto ko lang ireport",Structural,Low,tagalog
Alam ko po na marami kayong trabaho pero Maraming nahulog na bato mula sa taas ngayong tag-ulan kailangan bantayan kailangan ng agad na aksyon.,Landslide,Medium,tagalog
Ang kalsada sa aming sityo ay lubak lubak na at sira ang drainage sana ay tulungan ninyo kami.,Infrastructure,Medium,tagalog
"Pakiusap sana ay tulungan kami, Nahulog ang kaunting lupa sa drainage gusto ko lang ireport nangyari ito kanina pa.",Landslide,Low,tagalog
"Importante ini, Gaba na an speed bump sa atubangan kan eskwelahan, peligroso sa mga aki puwede daw kamong tumabang?",Road Hazard,Medium,bikol
Ang ilaw sa aming sityo ay kumukurap na baka may problema sa linya,Power Hazard,Low,tagalog
Nag aalala po kami dahil Ang tulay ay may malaking butas na sa gitna delikado sa mga bata maraming salamat po.,Infrastructure,Medium,tagalog
"Aram ko na dakul kamong trabaho pero Nahulog an signage sa kanto, kaipuhan nin kapalit dakul na salamat.",Road Hazard,Low,bikol
Biglang bumagsak ang malaking bahagi ng bundok malapit sa mga bahay,Landslide,High,tagalog
"Importante po ito, Nakita ko ang spark sa linya ng kuryente sa harap ng palengke maraming salamat po.",Power Hazard,Medium,tagalog
"Nag-aalala kami huli ta May naheling kaming pitak sa daga sa mataas na lugar, tibaad maggaba pakiusap.",Landslide,Medium,bikol
"Naghahapot ako kun igwa nang aksyon, An linya sa kalsada dai na naheheling, kaipuhan bagong pintura dakul na salamat.",Road Hazard,Low,bikol
Ang kalsada sa aming barangay ay lubak lubak na mapanganib sa motorsiklo kailangan na talaga ng tulong.,Road Hazard,Medium,tagalog
Alam ko po na marami kayong trabaho pero Ang kuryente ay lumalagyan ng apoy sa poste malapit sa paaralan kailangan na talaga ng tulong.,Power Hazard,High,tagalog
Nag-aalala kami huli ta May nagtatambay sa atubangan kan samuyang harong kada banggi dakul na salamat.,Security,Low,bikol
"Mahal na barangay tanggapan, Nakita ko ang usok mula sa bahay na walang tagaroon posibleng susunog maaari ba kayong tumulong?",Fire,High,tagalog
"Nagtatanong po kung may aksyon na, Walang tubig kami tuwing umaga dapat ay may tubig nangyari ito kanina pa.",Utility,Medium,tagalog
Biglang nahulog an dakulang parte kan bukid harani sa mga harong puwede daw kamong tumabang?,Landslide,High,bikol
"Mataas na an baha sa samuyang lugar, halos sa daghan na kan mga tawo",Flooding,High,bikol
"Pakiusap sana ay tulungan kami, Bumagsak ang retaining wall ng kalsada sa bundok napit ang mga sasakyan nangyari ito kanina pa.",Infrastructure,High,tagalog
"Nagtatanong po kung may aksyon na, Ang water pressure sa aming lugar ay napakababa halos walang tubig maaari ba kayong tumulong?",Utility,Medium,tagalog
"Nagtatanong po kung may aksyon na, Maraming adik na nakikita sa aming lugar gabi gabi kailangan ng aksyon umaasa po kaming maaksyunan ito.",Security,Medium,tagalog
"Mahal na barangay tanggapan, Kailangan ng vitamins ang mga bata sa aming purok maraming salamat po.",Medical,Low,tagalog
Alam ko po na marami kayong trabaho pero Maraming residente ang nagkakasakit posibleng dengue dapat mag-fumigate nangyari ito kanina pa.,Medical,Medium,tagalog
Naputol an high tension wire asin nahulog sa palengke naglalaom kami na maaksyunan ini.,Power Hazard,High,bikol
"Importante ini, May gurang na babaeng biglang naluya sa luwas kan harong niya salamat.",Medical,High,bikol
"Pakiusap sana ay tulungan kami, Maraming tao ang nagkasakit matapos kumain sa canteen ng barangay maaari ba kayong tumulong?",Food,High,tagalog
Gusto ko lang ireport na Ang aming kapit bahay ay matagal nang hindi kumakain kailangan ng tulong umaasa po kaming maaksyunan ito.,Medical,Medium,tagalog
"Pakiusap sana ay tulungan kami, Naanod ang sasakyan namin dahil sa lakas ng agos ng tubig",Flooding,High,tagalog
May bata na nalunod sa mababaw na tubig kailangan agad ng medikal,Medical,High,tagalog
"Importante ini, Nagbaha na sa samuyang harong, gabos na gamit nalubugan na naglalaom kami na maaksyunan ini.",Flooding,High,bikol
Bumagsak ang bubong ng abandonadong gusali may napit na tao sa loob umaasa po kaming maaksyunan ito.,Structural,High,tagalog
Nag-aalala kami huli ta Naghihilaw nin dikit an kanal pero dai pa grabe tabangan niyo kami tabi.,Flooding,Low,bikol
"Aram ko na dakul kamong trabaho pero Nahulog sa hagdan an sarong residente, dai na makahiro dakul na salamat.",Medical,High,bikol
Alam ko po na marami kayong trabaho pero May nagko-korslot na linya ng kuryente sa gitna ng basa na kalsada,Power Hazard,High,tagalog
May electric shock an sarong aki sa atubangan kan samuyang harong tabangan niyo kami tabi.,Power Hazard,High,bikol
Nag aalala po kami dahil Nasunog ang basura sa tambak matagal nang ganito gusto ko lang ireport sana ay tulungan ninyo kami.,Fire,Low,tagalog
Gusto ko lang ireport na Bumabaha ang kalsada at may peligro sa mga motorista kailangan na talaga ng tulong.,Flooding,Medium,tagalog
Umabot na ang baha sa loob ng classroom at opisina ng barangay sana ay tulungan ninyo kami.,Flooding,High,tagalog
Maraming pamilya ang naipit sa baha hindi makaalis ng bahay maaari ba kayong tumulong?,Flooding,High,tagalog
"Mahal na barangay tanggapan, Nagtaas ng babala ang weather bureau malakas pang ulan darating kailangan na talaga ng tulong.",Flooding,High,tagalog
"Mahal na barangay tanggapan, Nasunog ang kaunting pader ng bahay kontrol na pero kailangan pa rin suriin maraming salamat po.",Fire,Medium,tagalog
Ang kalsada sa aming barangay ay lubak lubak na mapanganib sa motorsiklo kailangan ng agad na aksyon.,Road Hazard,Medium,tagalog
Gusto ko sanang i-report na Daing kuryente ngunyan kaya nagrereport sana kun may nangyari pakiusap.,Utility,Low,bikol
Gusto ko lang ireport na Bumabaha sa basement ng building kapag malakas ang ulan ito ay nangyari ngayon.,Flooding,Medium,tagalog
"Importante po ito, Mababaw ang baha pero lumalamig na ang temperatura pwede pa lumaki pakiusap.",Flooding,Medium,tagalog
"Dakul na adik an naheheling sa samuyang lugar kada banggi, kaipuhan aksyon",Security,Medium,bikol
"May naheling na aso sa dumpsite, tibaad may nagkakalayo na basura salamat.",Fire,Medium,bikol
Gusto ko lang ireport na May napansing usok sa dumpsite baka sumasamang basura pakiusap.,Fire,Medium,tagalog
"Importante ini, Dakul na aki an may lagnat asin ubo sa samuyang purok naglalaom kami na maaksyunan ini.",Medical,Medium,bikol
Gusto ko lang ireport na May lumang transformer sa aming lugar posibleng mapanganib na salamat po.,Power Hazard,Medium,tagalog
"Nag-aalala kami huli ta Dakul na pitak an lanob kan samuyang eskwelahan, tibaad peligroso pakiusap.",Structural,Medium,bikol
"Pakiusap sana ay tulungan kami, Nagguho ang gilid ng kalsada sa bundok hindi na ligtas ang daanan ito ay nangyari ngayon.",Landslide,High,tagalog
"Mahal na barangay tanggapan, May nagtatalik ng away ng grupo sa kanto ng aming barangay mapanganib umaasa po kaming maaksyunan ito.",Security,High,tagalog
Nakita ko ang usok mula sa bahay na walang tagaroon posibleng susunog salamat po.,Fire,High,tagalog
Nag aalala po kami dahil Ang overpass ay may malaking bitak at delikado na sa mga gumagamit,Infrastructure,High,tagalog
Gusto ko lang ireport na Sira ang mga manhole cover sa aming lugar delikado sa mga nagtatakbo,Infrastructure,Medium,tagalog
Alam ko po na marami kayong trabaho pero May matanda na hirap huminga sinasabing masakit ang dibdib niya,Medical,High,tagalog
Ang tulay ay may malaking butas na sa gitna delikado sa mga bata pakiusap.,Infrastructure,Medium,tagalog
"Pakiusap sana ay tulungan kami, Nahulog ang transformer sa may palengke may apoy na lumalabas pakiusap.",Power Hazard,High,tagalog
May nakita kaming ahas sa tabi ng ilog maliit lang naman ireport ko lang maraming salamat po.,Animal,Low,tagalog
"Nagkakalayo an bodega sa gilid kan samuyang harong, kaipuhan nin BFP salamat.",Fire,High,bikol
Nagkaroon ng seizure ang aking kapit bahay hindi siya makapag-abot ng tulong,Medical,High,tagalog
Biglang bumaha ang kanal umabot na ang tubig sa loob ng bahay namin kailangan ng agad na aksyon.,Flooding,High,tagalog
Hindi na kami makalabas ng bahay puno na ang daan ng tubig pakiusap.,Flooding,High,tagalog
